TíTULO	ARTISTA	COLOR	ORDEN	ETIQUETAS	TONALIDAD	TONO INICIAL	MéTRICA	TEMPO	DURACIóN	NúMERO DE CANCIóN MIDI	NUM. DE PROGRAMA MIDI	DOCUMENTOS	GRABACIONES	PRESETS MIDI	LETRAS	LETRAS (HTML)	ACORDES	ACORDES (HTML)	COMENTARIOS	COMENTARIOS (HTML)	EJECUTADA POR ULTIMA VEZ	ACTIVA	AñADIDA
Faith	George Michael								3:12						:: Redobles en caja (Rods???)\n:: Esperamos 6 golpes de guitarra\n\nWell, I guess it would be nice\nIf I could touch your body\nI know not everybody\nHas got a body like you\n\nOh, but I gotta think twice\nBefore I give my heart away\nAnd I know all the games you play\nBecause I play them, too\n\nOh, but I need some time off from that emotion\nTime to pick my heart up off the floor\nAnd when that love comes down without devotion\nWell, it takes a strong man baby, but I'm\nShowing you the door\n:: SILENCIO\n'Cause I gotta have faith\nI gotta have faith\nYes, I've gotta have faith, faith, faith\nI gotta have faith, faith, faith\n:: SILENCIO\nBaby\nI know you're asking me to stay\nSaying please, please, please don't go away\nYou say I'm giving you the blues\n\nMaybe you mean every word you say\nCan't help but think of yesterday\nAnd another who tied me down to loverboy rules\n\nBefore this river becomes an ocean\nBefore you throw my heart back on the floor\nOh baby, I reconsider my foolish notion\nWell, I need someone to hold me\nBut I'll wait for something more\n:: SILENCIO\n'Cause I gotta have faith\nI gotta have faith\nYes, I've gotta have faith, faith, faith\nI gotta have faith, faith, faith\n:: SILENCIO\nAh!\n:: SOLO\nBefore this river\nBecomes an ocean\nBefore you throw my heart back on the floor\n(I've just got to have faith)\nI've reconsidered my foolish notion\n\nYeah, I need someone to hold me\nBut I'll wait for something more\n:: SILENCIO\n'Cause\nI gotta have faith\nI gotta have faith\nYes, I've gotta have faith, faith, faith\nI gotta have faith, faith, faith!	<p><span style="color: #F68B27;">:: Redobles en caja (Rods???)</span><br /><span style="color: #F68B27;">:: Esperamos 6 golpes de guitarra</span></p><p>Well, I guess it would be nice<br />If I could touch your body<br />I know not everybody<br />Has got a body like you</p><p>Oh, but I gotta think twice<br />Before I give my heart away<br />And I know all the games you play<br />Because I play them, too</p><p>Oh, but I need some time off from that emotion<br />Time to pick my heart up off the floor<br />And when that love comes down without devotion<br />Well, it takes a strong man baby, but I'm<br />Showing you the door<br /><span style="color: #F68B27;">:: SILENCIO</span><br />'Cause I gotta have faith<br />I gotta have faith<br />Yes, I've gotta have faith, faith, faith<br />I gotta have faith, faith, faith<br /><span style="color: #F68B27;">:: SILENCIO</span><br />Baby<br />I know you're asking me to stay<br />Saying please, please, please don't go away<br />You say I'm giving you the blues</p><p>Maybe you mean every word you say<br />Can't help but think of yesterday<br />And another who tied me down to loverboy rules</p><p>Before this river becomes an ocean<br />Before you throw my heart back on the floor<br />Oh baby, I reconsider my foolish notion<br />Well, I need someone to hold me<br />But I'll wait for something more<br /><span style="color: #F68B27;">:: SILENCIO</span><br />'Cause I gotta have faith<br />I gotta have faith<br />Yes, I've gotta have faith, faith, faith<br />I gotta have faith, faith, faith<br /><span style="color: #F68B27;">:: SILENCIO</span><br />Ah!<br /><span style="color: #F68B27;">:: SOLO</span><br />Before this river<br />Becomes an ocean<br />Before you throw my heart back on the floor<br />(I've just got to have faith)<br />I've reconsidered my foolish notion</p><p>Yeah, I need someone to hold me<br />But I'll wait for something more<br /><span style="color: #F68B27;">:: SILENCIO</span><br />'Cause<br />I gotta have faith<br />I gotta have faith<br />Yes, I've gotta have faith, faith, faith<br />I gotta have faith, faith, faith!</p>						Si	2025-08-07 12:23:33
Falling Slowly	The Frames							71							I don't know you\nBut I want you\nAll the more for that\nWords fall through me\nAnd always fool me\nAnd I can't react\n\nAnd games that never amount\nTo more than they're meant\nWill play themselves out\n:: Charles a corches, con caja\nTake this sinking boat and point it home\nWe've still got time\nRaise your hopeful voice, you have a choice\nYou'll make it now\n:: SILENCIO y aro\nFalling slowly, eyes that know me\nAnd I can't go back\nMoods that take me and erase me\nAnd I'm painted black\n\nYou have suffered enough\nAnd warred with yourself\nIt's time that you won\n\nTake this sinking boat and point it home\nWe've still got time\nRaise your hopeful voice, you have a choice\nYou've made it now\n:: SOLO\n:: SILENCIO de todos instrumento\nTake this sinking boat and point it home\nWe've still got time\nRaise your hopeful voice, you have a choice :: Vuelven instrumentos\nYou've made it now\nFalling slowly, sing your melody\nI'll sing along\n:: SOLO\nNooww...\n\n:: FINAL EN SECO (ESTA VERSIÓN)	<p><span style="color: #F0BE03;">I don't know you</span><br /><span style="color: #F0BE03;">But I want you</span><br /><span style="color: #F0BE03;">All the more for that</span><br /><span style="color: #F0BE03;">Words fall through me</span><br /><span style="color: #F0BE03;">And always fool me</span><br /><span style="color: #F0BE03;">And I can't react</span></p><p><span style="color: #F0BE03;">And games that never amount</span><br /><span style="color: #F0BE03;">To more than they're meant</span><br /><span style="color: #F0BE03;">Will play themselves out<br /></span><span style="color: #F68B27;">:: Charles a corches, con caja<br /></span><span style="color: #F0BE03;"></span><span style="color: #51D43E;">Take this sinking boat and point it home</span><br /><span style="color: #51D43E;">We've still got time</span><br /><span style="color: #51D43E;">Raise your hopeful voice, you have a choice</span><br /><span style="color: #51D43E;">You'll make it now</span><br /><span style="color: #F68B27;">:: SILENCIO y aro<br /></span>Falling slowly, eyes that know me<br />And I can't go back<br />Moods that take me and erase me<br />And I'm painted black</p><p>You have suffered enough<br />And warred with yourself<br />It's time that you won</p><p><span style="color: #51D43E;">Take this sinking boat and point it home</span><br /><span style="color: #51D43E;">We've still got time</span><br /><span style="color: #51D43E;">Raise your hopeful voice, you have a choice</span><br /><span style="color: #51D43E;">You've made it now<br /></span><span style="color: #F68B27;">:: SOLO<br />:: SILENCIO de todos instrumento</span><br /><span style="color: #F0BE03;">Take this sinking boat and point it home</span><br /><span style="color: #F0BE03;">We've still got time</span><br /><span style="color: #51D43E;"></span><span style="color: #F0BE03;">Raise your hopeful voi</span><span style="color: #51D43E;">ce, you have a choice </span><span style="color: #F68B27;">:: Vuelven instrumentos</span><span style="color: #51D43E;"></span><br /><span style="color: #51D43E;">You've made it now</span><br /><span style="color: #51D43E;">Falling slowly, sing your melody</span><br /><span style="color: #51D43E;">I'll sing along<br /></span><span style="color: #F68B27;">:: SOLO</span><br /><span style="color: #51D43E;">Nooww...</span></p><p><span style="color: #F68B27;">:: FINAL EN SECO (ESTA VERSIÓN)</span></p>						Si	2025-03-19 12:35:14
Feo, fuerte y formal	Loquillo			Shuffle	T5C5G	D		128	4:46						¡¡ SHUFFLE !! Luego Tom base a corcheas con redobles con tom 1\nEntra Nino\nPrimero al Ride  y luego tom base\nNo vine aquí para hacer amigos\nPero sabes que siempre puedes contar conmigo\nDicen de mí que soy un tanto animal\nPero en el fondo soy un sentimental\n\nMi familia no son gente normal\nDe otra época y corte moral\nResuelven sus problemas de forma natural\nPara qué discutir, CRASH x 4 si puedes pelear\nSHUFFLE en Charles \nDame una sonrisa de complicidad\nY toda tu vida se detendrá\nNada será lo mismo, nada será igual\nYa sabes CRASH x 4\n¡Feo, fuerte y formal!\n\nEn el calor de la noche\nA plena luz del día\nSiempre dispuesto para alegrarte el día\nSoy hombre de bien\nA carta cabal\nY como el DUQUE CRASH x 4\n¡Feo, Fuerte y Formal!\nSolo AL RIDE!!!\nSolo bombo negras y redobles en tom\nMi fama me precederá\nHasta el infinito y más allá\nY vive Dios que escrito está\nSi te doy mi palabra\nNo se romperá             Al Charles ??\nNo vine aquí para hacer amigos  \nPero sabes que siempre puedes contar conmigo\nDicen de mí que soy un tanto animal\nPero en el fondo CRASH x 4 soy un sentimental\n\nDame una sonrisa de complicidad\nY toda tu vida se detendrá\nNada será lo mismo, nada será igual\nYa sabes\n¡Feo, fuerte y formal!\n\nEn el calor de la noche\nA plena luz del día\nSiempre dispuesto para alegrarte el día\nSoy hombre de bien\nA carta cabal\nY como el DUQUE  CRASH x 4\n¡Feo, Fuerte y Formal!\nSolo bombo y redobles en tom,\nluego Ride con campana\nYa sabes                     ¡Feo, fuerte y formal!    x   3	<p><span style="color: #F68B27;">¡¡ SHUFFLE !! Luego Tom base a corcheas con redobles con tom 1</span><br /><span style="color: #F68B27;">Entra Nino</span><br /><span style="color: #F68B27;">Primero al Ride  y luego tom base</span><br />No vine aquí para hacer amigos<br />Pero sabes que siempre puedes contar conmigo<br />Dicen de mí que soy un tanto animal<br />Pero en el fondo soy un sentimental</p><p>Mi familia no son gente normal<br />De otra época y corte moral<br />Resuelven sus problemas de forma natural<br />Para qué discutir, CRASH x 4 si puedes pelear<br /><span style="color: #F68B27;">SHUFFLE en Charles </span><br />Dame una sonrisa de complicidad<br />Y toda tu vida se detendrá<br />Nada será lo mismo, nada será igual<br />Ya sabes<span style="color: #F68B27;"> CRASH x 4</span><br />¡Feo, fuerte y formal!</p><p>En el calor de la noche<br />A plena luz del día<br />Siempre dispuesto para alegrarte el día<br />Soy hombre de bien<br />A carta cabal<br />Y como el DUQUE <span style="color: #F68B27;">CRASH x 4</span><br />¡Feo, Fuerte y Formal!<br /><span style="color: #F68B27;">Solo AL RIDE!!!</span><br /><span style="color: #F68B27;">Solo bombo negras y redobles en tom</span><br /><span style="color: #F0BE03;">Mi fama me precederá<br />Hasta el infinito y más allá<br />Y vive Dios que escrito está<br />Si te doy mi palabra<br />No se romperá             </span><span style="color: #F68B27;">Al Charles ??</span><span style="color: #F0BE03;"><br />No vine aquí para hacer amigos  <br />Pero sabes que siempre puedes contar conmigo<br />Dicen de mí que soy un tanto animal<br />Pero en el fondo </span><span style="color: #F68B27;">CRASH x 4 </span><span style="color: #F0BE03;">soy un sentimental</span></p><p>Dame una sonrisa de complicidad<br />Y toda tu vida se detendrá<br />Nada será lo mismo, nada será igual<br />Ya sabes<br />¡Feo, fuerte y formal!</p><p>En el calor de la noche<br />A plena luz del día<br />Siempre dispuesto para alegrarte el día<br />Soy hombre de bien<br />A carta cabal<br />Y como el DUQUE <span style="color: #F68B27;"> CRASH x 4</span><br />¡Feo, Fuerte y Formal!<br /><span style="color: #F68B27;">Solo bombo y redobles en tom,</span><br /><span style="color: #F68B27;">luego Ride con campana</span><br />Ya sabes                     ¡Feo, fuerte y formal!<span style="color: #F68B27;">    x   3</span></p>			¡¡ SHUFFLE !! Entra Nino, percusión más tarde	<p>¡¡ SHUFFLE !! Entra Nino, percusión más tarde</p>	2024-11-01	Si	2024-06-02 09:48:01
FREE AS A BIRD															Free as a bird\nIt's the next best thing to be\nFree as a bird\n\nHome, home and dry\nLike a hummingbird, I'll fly\nAs a bird on wings\n\nWhatever happened to\nThe life that we once knew?\nCan we really live without each other?\nWhere did we lose the touch\nThat seemed to mean so much?\nIt always made me feel so\n\nFree as a bird\nLike the next best thing to be\nFree as a bird\n\nHome, home and dry\nLike a hummingbird, I'll fly\nAs a bird on wings\n\nWhatever happened to\nThe life that we once knew?\nAlways made me feel so free\n\nFree as a bird\nIt's the next best thing to be\nFree as a bird\nFree as a bird\nFree as a bird	<p>Free as a bird<br />It's the next best thing to be<br />Free as a bird</p><p>Home, home and dry<br />Like a hummingbird, I'll fly<br />As a bird on wings</p><p>Whatever happened to<br />The life that we once knew?<br />Can we really live without each other?<br />Where did we lose the touch<br />That seemed to mean so much?<br />It always made me feel so</p><p>Free as a bird<br />Like the next best thing to be<br />Free as a bird</p><p>Home, home and dry<br />Like a hummingbird, I'll fly<br />As a bird on wings</p><p>Whatever happened to<br />The life that we once knew?<br />Always made me feel so free</p><p>Free as a bird<br />It's the next best thing to be<br />Free as a bird<br />Free as a bird<br />Free as a bird</p>						Si	2025-09-01 19:58:46
Free Falling	Tom Petty																					Si	2025-08-07 13:26:57
Friday I'm love	The Cure	Azul Oscuro	999					135	4:00						I don't care if Monday's blue\nTuesday's grey and Wednesday too\nThursday, I don't care about you\nIt's Friday, I'm in love\n\nMonday, you can fall apart\nTuesday, Wednesday break my heart\nOh, Thursday doesn't even start\nIt's Friday, I'm in love\n\nSaturday, wait\nAnd Sunday always comes too late\nBut Friday never hesitate\n\nI don't care if Monday's black\nTuesday, Wednesday heart attack\nThursday, never looking back\nIt's Friday, I'm in love\n\nMonday, you can hold your head\nTuesday, Wednesday, stay in bed\nOh, Thursday, watch the walls instead\nIt's Friday I'm in love\n\nSaturday, wait\nAnd Sunday always comes too late\nBut Friday never hesitate\n\nDressed up to the eyes, it's a wonderful surprise\nTo see your shoes and your spirits rise\nThrow out your frown and just smile at the sound\nAs sleek as a shriek, spinning round and round\n\nAlways take a big bite, it's such a gorgeous sight\nTo see you eat in the middle of the night\nYou can never get enough, enough of this stuff\nIt's Friday, I'm in love\n\nI don't care if Monday's blue\nTuesday's gray and Wednesday too\nThursday, I don't care about you\nIt's Friday, I'm in love\n\nMonday, you can fall apart\nTuesday, Wednesday break my heart\nThursday doesn't even start\nIt's Friday, I'm in love	<p>I don't care if Monday's blue<br />Tuesday's grey and Wednesday too<br />Thursday, I don't care about you<br />It's Friday, I'm in love</p><p>Monday, you can fall apart<br />Tuesday, Wednesday break my heart<br />Oh, Thursday doesn't even start<br />It's Friday, I'm in love</p><p>Saturday, wait<br />And Sunday always comes too late<br />But Friday never hesitate</p><p>I don't care if Monday's black<br />Tuesday, Wednesday heart attack<br />Thursday, never looking back<br />It's Friday, I'm in love</p><p>Monday, you can hold your head<br />Tuesday, Wednesday, stay in bed<br />Oh, Thursday, watch the walls instead<br />It's Friday I'm in love</p><p>Saturday, wait<br />And Sunday always comes too late<br />But Friday never hesitate</p><p>Dressed up to the eyes, it's a wonderful surprise<br />To see your shoes and your spirits rise<br />Throw out your frown and just smile at the sound<br />As sleek as a shriek, spinning round and round</p><p>Always take a big bite, it's such a gorgeous sight<br />To see you eat in the middle of the night<br />You can never get enough, enough of this stuff<br />It's Friday, I'm in love</p><p>I don't care if Monday's blue<br />Tuesday's gray and Wednesday too<br />Thursday, I don't care about you<br />It's Friday, I'm in love</p><p>Monday, you can fall apart<br />Tuesday, Wednesday break my heart<br />Thursday doesn't even start<br />It's Friday, I'm in love</p>			Entrada tras primer compás de guitarra	<p>Entrada tras primer compás de guitarra</p>		Si	2024-05-14 15:53:12
FROM ME TO YOU															Da, da, da, da, da, dum, dum, da\nDa, da, da, da, da, dum, dum, da\n\nIf there's anything that you want\nIf there's anything I can do\nJust call on me and I'll send it along\nWith love, from me to you\n\nI've got everything that you want\nLike a heart that is, oh, so true\nJust call on me and I'll send it along\nWith love, from me to you\n\nI got arms that long to hold you\nAnd keep you by my side\nI got lips that long to kiss you\nAnd keep you satisfied, ooh\n\nIf there's anything that you want\nIf there's anything I can do\nJust call on me and I'll send it along\nWith love, from me to you\n\nFrom me to you\nJust call on me and I'll send it along\nWith love, from me to you\n\nI got arms that long to hold you\nAnd keep you by my side\nI got lips that long to kiss you\nAnd keep you satisfied, ooh\n\nIf there's anything that you want\nIf there's anything I can do\nJust call on me and I'll send it along\nWith love, from me to you\nTo you, to you, to you	<p>Da, da, da, da, da, dum, dum, da<br />Da, da, da, da, da, dum, dum, da</p><p>If there's anything that you want<br />If there's anything I can do<br />Just call on me and I'll send it along<br />With love, from me to you</p><p>I've got everything that you want<br />Like a heart that is, oh, so true<br />Just call on me and I'll send it along<br />With love, from me to you</p><p>I got arms that long to hold you<br />And keep you by my side<br />I got lips that long to kiss you<br />And keep you satisfied, ooh</p><p>If there's anything that you want<br />If there's anything I can do<br />Just call on me and I'll send it along<br />With love, from me to you</p><p>From me to you<br />Just call on me and I'll send it along<br />With love, from me to you</p><p>I got arms that long to hold you<br />And keep you by my side<br />I got lips that long to kiss you<br />And keep you satisfied, ooh</p><p>If there's anything that you want<br />If there's anything I can do<br />Just call on me and I'll send it along<br />With love, from me to you<br />To you, to you, to you</p>						Si	2025-09-01 19:52:39
FROM ME TO YOU															Da, da, da, da, da, dum, dum, da\nDa, da, da, da, da, dum, dum, da\n\nIf there's anything that you want\nIf there's anything I can do\nJust call on me and I'll send it along\nWith love, from me to you\n\nI've got everything that you want\nLike a heart that is, oh, so true\nJust call on me and I'll send it along\nWith love, from me to you\n\nI got arms that long to hold you\nAnd keep you by my side\nI got lips that long to kiss you\nAnd keep you satisfied, ooh\n\nIf there's anything that you want\nIf there's anything I can do\nJust call on me and I'll send it along\nWith love, from me to you\n\nFrom me to you\nJust call on me and I'll send it along\nWith love, from me to you\n\nI got arms that long to hold you\nAnd keep you by my side\nI got lips that long to kiss you\nAnd keep you satisfied, ooh\n\nIf there's anything that you want\nIf there's anything I can do\nJust call on me and I'll send it along\nWith love, from me to you\nTo you, to you, to you	<p>Da, da, da, da, da, dum, dum, da<br />Da, da, da, da, da, dum, dum, da</p><p>If there's anything that you want<br />If there's anything I can do<br />Just call on me and I'll send it along<br />With love, from me to you</p><p>I've got everything that you want<br />Like a heart that is, oh, so true<br />Just call on me and I'll send it along<br />With love, from me to you</p><p>I got arms that long to hold you<br />And keep you by my side<br />I got lips that long to kiss you<br />And keep you satisfied, ooh</p><p>If there's anything that you want<br />If there's anything I can do<br />Just call on me and I'll send it along<br />With love, from me to you</p><p>From me to you<br />Just call on me and I'll send it along<br />With love, from me to you</p><p>I got arms that long to hold you<br />And keep you by my side<br />I got lips that long to kiss you<br />And keep you satisfied, ooh</p><p>If there's anything that you want<br />If there's anything I can do<br />Just call on me and I'll send it along<br />With love, from me to you<br />To you, to you, to you</p>						Si	2025-09-01 19:52:38
Get back	The Beatles														:: Redobles de caja con bombo a negras\n:: Tres colpes de Crash\nJo Jo was a man who thought he was a loner\nBut he knew it couldn't last\nJo Jo left his home in Tucson Arizona\nFor some California grass\n\nGet back, get back\nGet back to where you once belonged\nGet back, get back :: golpes de crash\nGet back to where you once belonged\n\nGet back, Jo Jo!\n\nGo home:: Tres colpes de Crash\nGet back, get back\nGet back to where you once belonged\n:: Tres colpes de Crash\nGet back, get back\nGet back to where you once belonged\n\n:: Breve silencio\nGet back, Jo\n\nSweet Loretta Martin thought she was a woman\nBut she was another man\nAll the girls around her say she's got it coming\nBut she gets it while she can\n\nGet back, get back\nGet back to where you once belonged\n:: Tres colpes de Crash\nGet back, get back :: Golpe de crash\nGet back to where you once belonged\n\nGet back, Loretta!\n\nGo home\n\nGet back, get back\nGet back to where you once belonged\n:: Tres colpes de Crash\nGet back, get back\nGet back to where you once belonged\n:: Breve silencio\n\nGet back, Loretta\nYour mommy is waiting for you\nWearing her high heel shoes and her low neck sweater\nGet Back home Loretta\n\nGet back, get back\nGet back to where you once belonged\nGet back, get back\nGet back to where you once belonged	<p><span style="color: #F68B27;">:: Redobles de caja con bombo a negras<br />:: Tres colpes de Crash</span><br />Jo Jo was a man who thought he was a loner<br />But he knew it couldn't last<br />Jo Jo left his home in Tucson Arizona<br />For some California grass</p><p>Get back, get back<br />Get back to where you once belonged<br />Get back, get back <span style="color: #F68B27;">:: golpes de crash</span><br />Get back to where you once belonged</p><p>Get back, Jo Jo!</p><p>Go home<span style="color: #F68B27;">:: Tres colpes de Crash</span><br />Get back, get back<br />Get back to where you once belonged<br /><span style="color: #F68B27;">:: Tres colpes de Crash</span><br />Get back, get back<br />Get back to where you once belonged</p><p><span style="color: #F68B27;">:: Breve silencio</span><br />Get back, Jo</p><p>Sweet Loretta Martin thought she was a woman<br />But she was another man<br />All the girls around her say she's got it coming<br />But she gets it while she can</p><p>Get back, get back<br />Get back to where you once belonged<br /><span style="color: #F68B27;">:: Tres colpes de Crash</span><br />Get back, get back <span style="color: #F68B27;">:: Golpe de crash</span><br />Get back to where you once belonged</p><p>Get back, Loretta!</p><p>Go home</p><p>Get back, get back<br />Get back to where you once belonged<br /><span style="color: #F68B27;">:: Tres colpes de Crash</span><br />Get back, get back<br />Get back to where you once belonged<br /><span style="color: #F68B27;">:: Breve silencio</span></p><p><span style="color: #247CBF;">Get back, Loretta</span><br /><span style="color: #247CBF;">Your mommy is waiting for you</span><br /><span style="color: #247CBF;">Wearing her high heel shoes and her low neck sweater</span><br /><span style="color: #247CBF;">Get Back home Loretta</span></p><p>Get back, get back<br />Get back to where you once belonged<br />Get back, get back<br />Get back to where you once belonged</p>						Si	2025-02-16 11:05:43
Gimme Gimme Gimme	ABBA							120							:: UNOS COMPASES DE GUITARRA Y ENTRAMOS\n:: RITMO DISCO\nHalf-past twelve. :: BREVE SILENCIO\nAnd I'm watching the late show in my flat, all alone\nHow I hate to spend the evening on my own\n\nAutumn winds\nBlowing outside the window as I look around the room\nAnd it makes me so depressed to see the gloom\n\nThere's not a soul out there\nNo one to hear my prayer\n\nGimme, gimme, gimme a man after midnight\nWon't somebody help me chase the shadows away?\nGimme, gimme, gimme a man after midnight\nTake me through the darkness to the break of the day\n\nMovie stars\nFind the end of the rainbow with a fortune to win\nIt's so different from the world I'm living in\n\nTired of TV\nI open the window and I gaze into the night\nBut there's nothing there to see, no one in sight\n\nThere's not a soul out there\nNo one to hear my prayer\n\nGimme, gimme, gimme a man after midnight\nWon't somebody help me chase the shadows away?\nGimme, gimme, gimme a man after midnight\nTake me through the darkness to the break of the day\n\nGimme, gimme, gimme a man after midnight\nGimme, gimme, gimme a man after midnight\n\nThere's not a soul out there\nNo one to hear my prayer\n\nGimme, gimme, gimme a man after midnight\nWon't somebody help me chase the shadows away?\nGimme, gimme, gimme a man after midnight\nTake me through the darkness to the break of the day\n\nGimme, gimme, gimme a man after midnight\nWon't somebody help me chase the shadows away?\nGimme, gimme, gimme a man after midnight\nTake me through the darkness to the break of the day	<p><span style="color: #F68B27;">:: UNOS COMPASES DE GUITARRA Y ENTRAMOS<br />:: RITMO DISCO</span><br />Half-past twelve. <span style="color: #F68B27;">:: BREVE SILENCIO</span><br />And I'm watching the late show in my flat, all alone<br />How I hate to spend the evening on my own</p><p>Autumn winds<br />Blowing outside the window as I look around the room<br />And it makes me so depressed to see the gloom</p><p>There's not a soul out there<br />No one to hear my prayer</p><p>Gimme, gimme, gimme a man after midnight<br />Won't somebody help me chase the shadows away?<br />Gimme, gimme, gimme a man after midnight<br />Take me through the darkness to the break of the day</p><p>Movie stars<br />Find the end of the rainbow with a fortune to win<br />It's so different from the world I'm living in</p><p>Tired of TV<br />I open the window and I gaze into the night<br />But there's nothing there to see, no one in sight</p><p>There's not a soul out there<br />No one to hear my prayer</p><p>Gimme, gimme, gimme a man after midnight<br />Won't somebody help me chase the shadows away?<br />Gimme, gimme, gimme a man after midnight<br />Take me through the darkness to the break of the day</p><p>Gimme, gimme, gimme a man after midnight<br />Gimme, gimme, gimme a man after midnight</p><p>There's not a soul out there<br />No one to hear my prayer</p><p>Gimme, gimme, gimme a man after midnight<br />Won't somebody help me chase the shadows away?<br />Gimme, gimme, gimme a man after midnight<br />Take me through the darkness to the break of the day</p><p>Gimme, gimme, gimme a man after midnight<br />Won't somebody help me chase the shadows away?<br />Gimme, gimme, gimme a man after midnight<br />Take me through the darkness to the break of the day</p>						Si	2025-07-26 10:33:12
GIRL															Is there anybody going to listen to my story\nAll about the girl who came to stay?\nShe's the kind of girl you want so much, it makes you sorry\nStill, you don't regret a single day\n\nAh, girl\nGirl, girl, girl\n\nWhen I think of all the times I've tried so hard to leave her\nShe will turn to me and start to cry\nAnd she promises the earth to me and I believe her\nAfter all this time, I don't know why\n\nAh, girl\nGirl, girl, girl\n\nShe's the kind of girl who puts you down\nWhen friends are there, you feel a fool\n\nWhen you say she's looking good\nShe acts as if it's understood, she's cool\n\nGirl\nGirl, girl, girl\n\nWas she told when she was young that pain would lead to pleasure?\nDid she understand it when they said\nThat a man must break his back to earn his day of leisure?\nWill she still believe it when he's dead?\n\nAh, girl\nGirl, girl, girl, girl\n\nAh, girl\nGirl, girl	<p>Is there anybody going to listen to my story<br />All about the girl who came to stay?<br />She's the kind of girl you want so much, it makes you sorry<br />Still, you don't regret a single day</p><p>Ah, girl<br />Girl, girl, girl</p><p>When I think of all the times I've tried so hard to leave her<br />She will turn to me and start to cry<br />And she promises the earth to me and I believe her<br />After all this time, I don't know why</p><p>Ah, girl<br />Girl, girl, girl</p><p>She's the kind of girl who puts you down<br />When friends are there, you feel a fool</p><p>When you say she's looking good<br />She acts as if it's understood, she's cool</p><p>Girl<br />Girl, girl, girl</p><p>Was she told when she was young that pain would lead to pleasure?<br />Did she understand it when they said<br />That a man must break his back to earn his day of leisure?<br />Will she still believe it when he's dead?</p><p>Ah, girl<br />Girl, girl, girl, girl</p><p>Ah, girl<br />Girl, girl</p>						Si	2025-09-01 19:53:56
Give a Little Bit	Supetramp		999					92	4:08						Oh, yeah\nAlright\nHere we go again\n\nGive a little bit\nGive a little bit of your love to me\nI'll give a little bit\nI'll give a little bit of my love to you\n\nThere's so much that we need to share\nSo send a smile and show you care\n(Alright)\n\nI'll give a little bit\nI'll give a little bit of my life for you\nSo give a little bit\nGive a little bit of your time to me\n\nI'll give a little bit\nI'll give a little bit of my life for you\nSo give a little bit\nOh, give a little bit of your time to me\n\nSee the man with the lonely eyes\nOh, take his hand\nYou'll be surprised\nOh, take it\n\nAh, yeah\nCome along\nYeah, yeah, yeah, yeah\nYeah, yeah, yeah, yeah, yeah, yeah, yeah\n\nCome a- yeah\n\nGive a little bit\nGive a little bit of your love to me\nI'll give a little bit\nI'll give a little bit of my life for you\n\nNow's the time that we need to share\nSo find yourself\nWe're on our way back home\n\nOh, going home\nDon't you need, don't you need, to feel at home?\nOh, yeah, we gotta sing\n\nOh, yeah, we gotta get a feeling\nOh, yeah, come along too, woah\nCome a, come along too, yeah\nCome a, come a, come a, come along\n\nCha-ka-doom, yeah\nOh, yeah, come along too\nYeah, come along too, yeah\n\nSing, betty lou\nCome along too, what a long ride\nCome a long way\nOh, sing it, tonight\n\nOh, yeah	<p><span style="color: #F0BE03;">Oh, yeah</span><br /><span style="color: #F0BE03;">Alright</span><br /><span style="color: #F0BE03;">Here we go again</span></p><p><span style="color: #F0BE03;">Give a little bit</span><br /><span style="color: #F0BE03;">Give a little bit of your love to me</span><br /><span style="color: #F0BE03;">I'll give a little bit</span><br /><span style="color: #F0BE03;">I'll give a little bit of my love to you</span></p><p><span style="color: #F0BE03;">There's so much that we need to share</span><br /><span style="color: #F0BE03;">So send a smile and show you care</span><br />(Alright)</p><p>I'll give a little bit<br />I'll give a little bit of my life for you<br />So give a little bit<br />Give a little bit of your time to me</p><p>I'll give a little bit<br />I'll give a little bit of my life for you<br />So give a little bit<br />Oh, give a little bit of your time to me</p><p>See the man with the lonely eyes<br />Oh, take his hand<br />You'll be surprised<br />Oh, take it</p><p>Ah, yeah<br />Come along<br />Yeah, yeah, yeah, yeah<br />Yeah, yeah, yeah, yeah, yeah, yeah, yeah</p><p>Come a- yeah</p><p>Give a little bit<br />Give a little bit of your love to me<br />I'll give a little bit<br />I'll give a little bit of my life for you</p><p>Now's the time that we need to share<br />So find yourself<br />We're on our way back home</p><p>Oh, going home<br />Don't you need, don't you need, to feel at home?<br />Oh, yeah, we gotta sing</p><p>Oh, yeah, we gotta get a feeling<br />Oh, yeah, come along too, woah<br />Come a, come along too, yeah<br />Come a, come a, come a, come along</p><p>Cha-ka-doom, yeah<br />Oh, yeah, come along too<br />Yeah, come along too, yeah</p><p>Sing, betty lou<br />Come along too, what a long ride<br />Come a long way<br />Oh, sing it, tonight</p><p>Oh, yeah</p>						Si	2024-06-03 09:27:18
